data_venda,produto,marca,modelo,preco,quantidade
2023-07-23,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,9
2023-07-23,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,5
2023-07-24,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,8
2023-07-24,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,8
2023-07-24,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,7
2023-07-24,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,1
2023-07-24,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,4
2023-07-24,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,4
2023-07-25,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,1
2023-07-26,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,7
2023-07-26,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,10
2023-07-26,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,1
2023-07-26,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,1
2023-07-26,Controle Remoto LG,LG,AKB75095307,R$ 79.99,1
2023-07-26,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,10
2023-07-27,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,2
2023-07-27,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,5
2023-07-27,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,3
2023-07-27,Controle Remoto LG,LG,AKB75095307,R$ 79.99,9
2023-07-27,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,5
2023-07-28,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,9
2023-07-28,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,8
2023-07-28,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,2
2023-07-28,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,8
2023-07-28,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,4
2023-07-29,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,8
2023-07-29,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,6
2023-07-29,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,1
2023-07-30,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,7
2023-07-30,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,2
2023-07-30,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,3
2023-07-30,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,9
2023-07-30,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,6
2023-07-30,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,2
2023-07-31,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,9
2023-07-31,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,1
2023-07-31,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,8
2023-07-31,Controle Remoto LG,LG,AKB75095307,R$ 79.99,4
2023-07-31,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,10
2023-07-31,Controle Remoto LG,LG,AKB75095307,R$ 79.99,9
2023-08-01,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,7
2023-08-01,Controle Remoto LG,LG,AKB75095307,R$ 79.99,9
2023-08-01,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,3
2023-08-01,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,9
2023-08-01,Controle Remoto LG,LG,AKB75095307,R$ 79.99,10
2023-08-02,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,9
2023-08-02,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,2
2023-08-02,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,6
2023-08-02,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,4
2023-08-02,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,3
2023-08-02,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,9
2023-08-03,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,4
2023-08-03,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,2
2023-08-03,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,6
2023-08-03,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,5
2023-08-04,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,8
2023-08-04,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,10
2023-08-04,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,5
2023-08-05,Controle Remoto LG,LG,AKB75095307,R$ 79.99,8
2023-08-05,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,4
2023-08-05,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,10
2023-08-05,Controle Remoto LG,LG,AKB75095307,R$ 79.99,3
2023-08-05,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,10
2023-08-05,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,2
2023-08-06,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,2
2023-08-06,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,4
2023-08-07,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,10
2023-08-07,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,7
2023-08-07,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,1
2023-08-07,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,6
2023-08-07,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,2
2023-08-07,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,7
2023-08-08,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,4
2023-08-08,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,9
2023-08-08,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,2
2023-08-08,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,7
2023-08-08,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,9
2023-08-08,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,1
2023-08-09,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,7
2023-08-09,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,2
2023-08-09,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,2
2023-08-09,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,7
2023-08-09,Controle Remoto LG,LG,AKB75095307,R$ 79.99,5
2023-08-10,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,8
2023-08-10,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,4
2023-08-10,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,4
2023-08-10,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,7
2023-08-10,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,6
2023-08-11,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,7
2023-08-11,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,10
2023-08-11,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,6
2023-08-12,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,4
2023-08-12,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,1
2023-08-13,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,3
2023-08-13,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,10
2023-08-13,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,8
2023-08-13,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,9
2023-08-13,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,5
2023-08-13,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,9
2023-08-14,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,4
2023-08-14,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,3
2023-08-14,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,4
2023-08-15,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,4
2023-08-15,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,1
2023-08-15,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,10
2023-08-15,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,9
2023-08-16,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,3
2023-08-16,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,10
2023-08-16,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,3
2023-08-16,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,5
2023-08-17,Controle Remoto LG,LG,AKB75095307,R$ 79.99,5
2023-08-17,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,9
2023-08-17,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,6
2023-08-17,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,3
2023-08-17,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,10
2023-08-18,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,9
2023-08-18,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,1
2023-08-18,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,1
2023-08-19,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,6
2023-08-19,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,9
2023-08-19,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,4
2023-08-19,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,7
2023-08-19,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,2
2023-08-19,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,5
2023-08-20,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,10
2023-08-20,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,7
2023-08-21,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,5
2023-08-21,Controle Remoto LG,LG,AKB75095307,R$ 79.99,5
2023-08-21,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,9
2023-08-22,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,3
2023-08-22,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,6
2023-08-23,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,9
2023-08-23,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,9
2023-08-23,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,8
2023-08-24,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,8
2023-08-24,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,9
2023-08-24,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,6
2023-08-24,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,2
2023-08-24,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,4
2023-08-24,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,7
2023-08-25,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,10
2023-08-25,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,6
2023-08-26,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,8
2023-08-26,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,8
2023-08-26,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,2
2023-08-26,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,8
2023-08-26,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,1
2023-08-26,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,3
2023-08-27,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,2
2023-08-27,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,3
2023-08-27,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,9
2023-08-27,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,3
2023-08-28,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,2
2023-08-28,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,7
2023-08-29,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,8
2023-08-29,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,9
2023-08-29,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,4
2023-08-29,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,7
2023-08-29,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,10
2023-08-30,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,9
2023-08-30,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,7
2023-08-30,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,9
2023-08-30,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,10
2023-08-30,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,5
2023-08-30,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,3
2023-08-31,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,9
2023-09-01,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,7
2023-09-01,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,4
2023-09-01,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,7
2023-09-01,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,7
2023-09-01,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,8
2023-09-02,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,1
2023-09-03,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,8
2023-09-03,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,8
2023-09-03,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,4
2023-09-04,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,8
2023-09-04,Controle Remoto LG,LG,AKB75095307,R$ 79.99,5
2023-09-04,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,6
2023-09-04,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,3
2023-09-05,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,9
2023-09-05,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,3
2023-09-05,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,6
2023-09-06,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,3
2023-09-06,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,1
2023-09-06,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,8
2023-09-06,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,9
2023-09-07,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,7
2023-09-08,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,4
2023-09-08,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,7
2023-09-08,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,6
2023-09-08,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,8
2023-09-09,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,7
2023-09-09,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,6
2023-09-09,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,4
2023-09-10,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,10
2023-09-10,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,10
2023-09-10,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,2
2023-09-11,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,10
2023-09-12,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,3
2023-09-12,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,6
2023-09-12,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,4
2023-09-13,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,3
2023-09-13,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,9
2023-09-13,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,5
2023-09-13,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,3
2023-09-13,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,2
2023-09-14,Controle Remoto LG,LG,AKB75095307,R$ 79.99,6
2023-09-14,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,6
2023-09-14,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,9
2023-09-14,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,4
2023-09-14,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,3
2023-09-15,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,8
2023-09-15,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,3
2023-09-15,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,9
2023-09-16,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,1
2023-09-16,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,6
2023-09-16,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,8
2023-09-16,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,6
2023-09-16,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,4
2023-09-16,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,9
2023-09-17,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,5
2023-09-17,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,3
2023-09-17,Controle Remoto LG,LG,AKB75095307,R$ 79.99,7
2023-09-17,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,1
2023-09-17,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,2
2023-09-18,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,8
2023-09-18,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,7
2023-09-18,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,8
2023-09-18,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,2
2023-09-18,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,6
2023-09-18,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,7
2023-09-19,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,7
2023-09-19,Controle Remoto LG,LG,AKB75095307,R$ 79.99,5
2023-09-19,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,8
2023-09-19,Controle Remoto LG,LG,AKB75095307,R$ 79.99,8
2023-09-20,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,10
2023-09-20,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,1
2023-09-21,Controle Remoto LG,LG,AKB75095307,R$ 79.99,1
2023-09-21,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,3
2023-09-21,Controle Remoto LG,LG,AKB75095307,R$ 79.99,6
2023-09-22,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,10
2023-09-22,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,2
2023-09-23,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,9
2023-09-23,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,9
2023-09-24,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,8
2023-09-24,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,10
2023-09-25,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,6
2023-09-25,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,8
2023-09-26,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,3
2023-09-26,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,4
2023-09-27,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,3
2023-09-27,Controle Remoto LG,LG,AKB75095307,R$ 79.99,9
2023-09-27,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,10
2023-09-27,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,6
2023-09-27,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,7
2023-09-27,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,8
2023-09-28,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,9
2023-09-28,Controle Remoto LG,LG,AKB75095307,R$ 79.99,8
2023-09-28,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,8
2023-09-29,Controle Remoto LG,LG,AKB75095307,R$ 79.99,6
2023-09-29,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,8
2023-09-30,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,5
2023-09-30,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,10
2023-09-30,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,7
2023-09-30,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,2
2023-10-01,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,5
2023-10-01,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,10
2023-10-01,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,5
2023-10-01,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,10
2023-10-01,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,3
2023-10-02,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,1
2023-10-02,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,1
2023-10-02,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,4
2023-10-02,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,3
2023-10-02,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,5
2023-10-03,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,6
2023-10-04,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,9
2023-10-04,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,1
2023-10-04,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,5
2023-10-04,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,3
2023-10-04,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,3
2023-10-05,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,5
2023-10-05,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,1
2023-10-05,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,3
2023-10-05,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,2
2023-10-06,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,9
2023-10-07,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,10
2023-10-07,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,7
2023-10-08,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,1
2023-10-08,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,8
2023-10-09,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,8
2023-10-09,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,6
